station,gravity_final_mgal,elevation_m,latitude,longitude,free_air_correction_mgal,bouguer_correction_mgal,gravity_tied_mgal,instrument
1.0,0.5893142506463243,2112.468,40.47866586,-106.83549494,0.8032858000000201,0.2914139193000073,0.07744236994631137,CG5-2
2.0,0.4239915715257628,2112.006,40.47867525,-106.83549789,0.6607126000000235,0.23969158710000854,0.002970558625747799,CG5-2
3.0,0.4232299722906466,2111.569,40.47868384,-106.83550036,0.525854400000055,0.19076808240001997,0.08814365469061158,CG5-2
4.0,0.45869171701421807,2111.692,40.4786922,-106.835503,0.5638122000000696,0.20453831370002526,0.09941783071417376,CG5-2
5.0,0.5075169606247298,2111.862,40.47870173,-106.83550428,0.616274200000092,0.2235703407000334,0.11481310132467115,CG5-2
6.0,0.5021486619325879,2111.79,40.47871137,-106.83550629,0.5940550000000561,0.21550971750002038,0.12360337943255217,CG5-2
7.0,0.4127672282957464,2111.286,40.47872081,-106.8355082,0.4385206000000853,0.15908535510003094,0.13333198339569208,CG5-2
8.0,0.4022819725287107,2111.152,40.4787299,-106.83551187,0.3971682000000808,0.14408363970002933,0.14919741222865923,CG5-2
9.0,0.4284276662343449,2111.213,40.47873782,-106.83551224,0.41599280000012684,0.15091277880004603,0.16334764503426413,CG5-2
10.0,0.4297410325692206,2111.151,40.47874712,-106.83551337,0.39685960000001796,0.1439716866000065,0.1768531191692091,CG5-2
11.0,0.41275866545607787,2111.017,40.47875538,-106.83551551,0.35550720000001346,0.1289699712000049,0.18622143665606927,CG5-2
12.0,0.306394594885053,2110.432,40.4787628,-106.83551822,0.17497620000000225,0.06347740770000082,0.19489580258505157,CG5-2
12.5,0.3086086096600491,2110.407,40.47877146,-106.8355189,0.16726120000011452,0.06067858020004154,0.2020259898599761,CG5-2
13.0,0.3593625696228942,2110.634,40.47877179,-106.8355199,0.23731340000007184,0.08609193390002606,0.20814110352284843,CG5-2
13.5,0.290566840019504,2110.257,40.47878024,-106.83552017,0.12097120000008645,0.04388561520003136,0.21348125521944894,CG5-2
14.0,0.5452760407515923,2111.519,40.47877959,-106.83552282,0.5104243999999989,0.1851704273999996,0.22002206815159298,CG5-2
14.5,0.5676418311865024,2111.614,40.47878177,-106.83552425,0.5397414000000774,0.1958059719000281,0.22370640308645307,CG5-2
15.0,0.5487959837793157,2111.399,40.47879099,-106.83552433,0.4733924000000325,0.1717360554000118,0.24713963917929505,CG5-1
15.0,0.5487959837793157,2111.399,40.47879099,-106.83552433,0.4733924000000325,0.1717360554000118,0.24713963917929505,CG5-2
15.5,0.5175035665134607,2111.149,40.47879563,-106.83552641,0.3962424000000325,0.14374778040001182,0.26500894691344,CG5-1
16.0,0.42803392535088375,2110.686,40.47880082,-106.8355259,0.2533606000001134,0.09191349510004114,0.2665868204508115,CG5-1
16.5,0.4690199860923016,2110.7545,,,0.27449970000006957,0.09958228245002525,0.29410256854225736,CG5-1
17.0,0.4880883683470038,2110.823,40.47880759,-106.83552801,0.2956388000000258,0.10725106980000937,0.29970063814698733,CG5-1
17.5,0.47853999025822785,2110.7235,,,0.2649331000000853,0.09611173635003095,0.3097186266081735,CG5-1
18.0,0.48827402439758427,2110.624,40.47881475,-106.83553174,0.23422740000000447,0.08497240290000163,0.3390190272975815,CG5-1
19.0,0.40765353437856,2110.077,40.47882589,-106.83553107,0.06542320000013696,0.023734057200049688,0.3659643915784727,CG5-1
20.0,0.4404698371589216,2110.281,40.4788353,-106.83553229,0.12837760000005163,0.04657248960001874,0.3586647267588887,CG5-1
21.0,0.4947715924675129,2110.418,40.47884422,-106.83553858,0.1706558000001044,0.06191006430003788,0.3860258567674464,CG5-1
22.0,0.4034797466923997,2109.898,40.47885295,-106.83553779,0.010183800000110023,0.003694452300039914,0.3969903989923296,CG5-1
23.0,0.4325007144013713,2109.905,40.47886276,-106.83554206,0.012344000000129108,0.0044781240000468375,0.424634838401289,CG5-1
24.0,0.4509702795839032,2109.993,40.47886807,-106.83554226,0.039500800000048276,0.014329996800017513,0.4257994763838724,CG5-1
25.0,0.5144383459565375,2110.27,40.47887795,-106.83554295,0.12498300000006174,0.0453410055000224,0.4347963514564981,CG5-1
26.0,0.5030593107592999,2110.143,40.47888756,-106.83554613,0.08579080000007634,0.031122961800027694,0.44839147255925127,CG5-1
26.2000008,0.5049262092384499,2110.235,,,0.11418200000010664,0.04142264700003869,0.432166856238382,CG5-1
27.0,0.539910972697031,2110.327,40.47889622,-106.83554761,0.14257320000013696,0.05172233220004969,0.4490601048969438,CG5-1
28.0,0.5011014264405953,2109.904,40.47890422,-106.83554897,0.012035400000066237,0.00436617090002403,0.4934321973405531,CG5-1
29.0,0.5172230292214408,2109.865,40.47891131,-106.83555158,0.0,0.0,0.5172230292214408,CG5-1
29.2000008,0.49639623554594436,2109.865,,,0.0,0.0,0.49639623554594436,CG5-1
