station,Longitude,Latitude,elevation_m
29.0,-106.83555158,40.47891131,2109.865
28.0,-106.83554897,40.47890422,2109.904
27.0,-106.83554761,40.47889622,2110.327
26.0,-106.83554613,40.47888756,2110.143
25.0,-106.83554295,40.47887795,2110.27
24.0,-106.83554226,40.47886807,2109.993
22.0,-106.83553779,40.47885295,2109.898
20.0,-106.83553229,40.4788353,2110.281
19.0,-106.83553107,40.47882589,2110.077
18.0,-106.83553174,40.47881475,2110.624
17.0,-106.83552801,40.47880759,2110.823
16.0,-106.8355259,40.47880082,2110.686
15.0,-106.83552433,40.47879099,2111.399
14.0,-106.83552282,40.47877959,2111.519
13.0,-106.8355199,40.47877179,2110.634
12.0,-106.83551822,40.4787628,2110.432
11.0,-106.83551551,40.47875538,2111.017
10.0,-106.83551337,40.47874712,2111.151
9.0,-106.83551224,40.47873782,2111.213
8.0,-106.83551187,40.4787299,2111.152
7.0,-106.8355082,40.47872081,2111.286
6.0,-106.83550629,40.47871137,2111.79
5.0,-106.83550428,40.47870173,2111.862
4.0,-106.835503,40.4786922,2111.692
3.0,-106.83550036,40.47868384,2111.569
2.0,-106.83549789,40.47867525,2112.006
1.0,-106.83549494,40.47866586,2112.468
21.0,-106.83553858,40.47884422,2110.418
23.0,-106.83554206,40.47886276,2109.905
15.5,-106.83552641,40.47879563,2111.149
14.5,-106.83552425,40.47878177,2111.614
13.5,-106.83552017,40.47878024,2110.257
12.5,-106.8355189,40.47877146,2110.407
